FA/binder,CA/Binder,Binder (kg),% of SiO2,% of CaO,% of Al2O3,liquid/binder ratio,NaOH Molarity,Na2SiO3/  NaOH,Additional Water (%),SP (% of b),Curing temp (0 C),Age,Comp. Strength (Mpa),,
2.21,2.44,360.00,40.71,30.95,15.94,0.50,10.00,1.00,0.00,1.00,23.00,7.00,27.61,,
2.21,2.44,360.00,40.71,30.95,15.94,0.50,10.00,1.00,0.00,1.00,23.00,14.00,33.88,,
2.21,2.44,360.00,40.71,30.95,15.94,0.50,10.00,1.00,0.00,1.00,23.00,28.00,37.73,,
2.20,2.43,360.00,44.06,26.88,16.60,0.50,10.00,1.00,0.00,1.00,23.00,3.00,14.85,,
2.20,2.43,360.00,44.06,26.88,16.60,0.50,10.00,1.00,0.00,1.00,23.00,7.00,28.16,,
2.20,2.43,360.00,44.06,26.88,16.60,0.50,10.00,1.00,0.00,1.00,23.00,14.00,32.23,,
2.20,2.43,360.00,44.06,26.88,16.60,0.50,10.00,1.00,0.00,1.00,23.00,28.00,35.31,,
2.18,2.41,360.00,47.40,22.80,17.27,0.50,10.00,1.00,0.00,1.00,23.00,3.00,20.68,,
2.18,2.41,360.00,47.40,22.80,17.27,0.50,10.00,1.00,0.00,1.00,23.00,7.00,35.31,,
2.18,2.41,360.00,47.40,22.80,17.27,0.50,10.00,1.00,0.00,1.00,23.00,14.00,44.44,,
2.18,2.41,360.00,47.40,22.80,17.27,0.50,10.00,1.00,0.00,1.00,23.00,28.00,43.02,,
2.16,2.38,360.00,50.75,18.73,17.93,0.50,10.00,1.00,0.00,1.00,23.00,3.00,18.26,,
2.16,2.38,360.00,50.75,18.73,17.93,0.50,10.00,1.00,0.00,1.00,23.00,7.00,32.56,,
2.16,2.38,360.00,50.75,18.73,17.93,0.50,10.00,1.00,0.00,1.00,23.00,14.00,39.27,,
2.16,2.38,360.00,50.75,18.73,17.93,0.50,10.00,1.00,0.00,1.00,23.00,28.00,42.46,,
2.16,2.38,360.00,54.09,14.65,18.59,0.50,10.00,1.00,0.00,1.00,23.00,3.00,14.96,,
2.16,2.38,360.00,54.09,14.65,18.59,0.50,10.00,1.00,0.00,1.00,23.00,7.00,31.02,,
2.16,2.38,360.00,54.09,14.65,18.59,0.50,10.00,1.00,0.00,1.00,23.00,14.00,38.83,,
2.16,2.38,360.00,54.09,14.65,18.59,0.50,10.00,1.00,0.00,1.00,23.00,28.00,41.25,,
2.14,2.37,360.00,57.43,10.58,19.26,0.50,10.00,1.00,0.00,1.00,23.00,3.00,14.41,,
2.14,2.37,360.00,57.43,10.58,19.26,0.50,10.00,1.00,0.00,1.00,23.00,7.00,28.16,,
